Name,Area,Location,Research Papers,Free Timings
Anirban Chakraborthy,Marketing,Noida,9,6-7 PM
Anita Goyal,Marketing,Lucknow,10,6-7 PM
Ashish Dubey,Marketing,Noida,20,7-8 PM
Devashish Das Gupta,Marketing,Lucknow,1,6-7 PM
Prem Prakash Dewani,Marketing,Lucknow,8,6-7 PM
Priyanka Sharma,Marketing,Lucknow,29,1-2 PM
Rajeev Kumra,Marketing,Noida,30,10-11 AM
Rajesh K Aithal,Marketing,Lucknow,20,6-7 PM
Sameer Mathur,Marketing,Lucknow,9,6-7 PM
Indranil Biswal,Operations,Noida,5,6-7 PM
O S Vaidya,Operations,Lucknow,30,7-8 PM
Rajiv K Srivastava,Operations,Lucknow,29,6-7 PM
Suresh Kumar Jhakar,Operations,Lucknow,12,6-7 PM
Sushil Kumar,Operations,Noida,11,7-8 PM
Yash Daultani,Operations,Lucknow,7,6-7 PM
Samir K Srivastava,Operations,Lucknow,4,7-8 PM
Rakesh V,Operations,Lucknow,11,6-7 PM
Himanshu Rathore,Operations,Noida,23,10-11 AM
S. Venkataramanaiah,Operations,Lucknow,15,6-7 PM
Ajay Kumar Garg,Finance,Lucknow,2,7-8 PM
Alok Dixit,Finance,Lucknow,9,10-11 AM
Ashish Pandey,Finance,Noida,26,6-7 PM
Asim Kumar Mishra,Finance,Lucknow,2,6-7 PM
Madhumita Chakraborty,Finance,Lucknow,2,7-8 PM
Prakash Singh,Finance,Lucknow,29,6-7 PM
Seshadev Sahoo,Finance,Lucknow,9,6-7 PM
Vikas Srivastava,Finance,Noida,22,10-11 AM
Vipul,Finance,Lucknow,3,6-7 PM
A Vinay Kumar,Finance,Noida,12,10-11 AM
